scope,metric,direction,reference,candidate,improvement_percent_positive_good,within_2_percent,reference_identity,qualification
PGR2 snapshot Vulkan warm,frame_average_ms,+bad,34.483841379310306,34.591492219020225,-0.312177632781096,True,reused fixed baseline,historical fixed-baseline comparison
PGR2 snapshot Vulkan warm,p95_ms,+bad,40.91,41.361,-1.1024199462234188,True,reused fixed baseline,historical fixed-baseline comparison
PGR2 snapshot Vulkan warm,p99_ms,+bad,45.186,47.149,-4.34426592307352,False,reused fixed baseline,historical fixed-baseline comparison
PGR2 snapshot Vulkan warm,stalls,+bad,0,0,,,reused fixed baseline,historical fixed-baseline comparison
PGR2 FreshBoot OpenGL,fps,+good,29.990947,29.999998369565304,0.03018033930474364,True,reused fixed baseline,historical fixed-baseline comparison
PGR2 FreshBoot OpenGL,frame_average_ms,+bad,33.34260111111114,33.33334128745845,0.02777174948599109,True,reused fixed baseline,historical fixed-baseline comparison
PGR2 FreshBoot OpenGL,p95_ms,+bad,33.822,33.381,1.3038850452368353,True,reused fixed baseline,historical fixed-baseline comparison
PGR2 FreshBoot OpenGL,p99_ms,+bad,36.059,34.316,4.833744696192338,True,reused fixed baseline,historical fixed-baseline comparison
PGR2 FreshBoot OpenGL,stalls,+bad,0,0,,,reused fixed baseline,historical fixed-baseline comparison
PGR2 snapshot OpenGL,fps,+good,28.519344,28.481219333689026,-0.1336800254275632,True,reused fixed baseline,historical fixed-baseline comparison
PGR2 snapshot OpenGL,frame_average_ms,+bad,35.12222423887584,35.11683557636035,0.015342600396934462,True,reused fixed baseline,historical fixed-baseline comparison
PGR2 snapshot OpenGL,p95_ms,+bad,42.308,42.686,-0.8934480476505628,True,reused fixed baseline,historical fixed-baseline comparison
PGR2 snapshot OpenGL,p99_ms,+bad,46.086,46.169,-0.18009807750726559,True,reused fixed baseline,historical fixed-baseline comparison
PGR2 snapshot OpenGL,stalls,+bad,0,0,,,reused fixed baseline,historical fixed-baseline comparison
