"Build","Renderer","ID","Outcome","Iterations","Samples","Average_us","Median_us","Minimum_us","Maximum_us","Total_us","Timing_use"
"previous-main","vulkan","tiny_draw.inline_buffers.fixed_function","PASS","10","10","40120","40755","37833","41700","401205","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","tiny_draw.inline_buffers.vertex_shader","PASS","10","10","41125","40418.5","37072","45635","411252","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","tiny_draw.inline_elements.fixed_function","PASS","10","10","22402","22098","21875","23379","224027","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","tiny_draw.inline_elements.vertex_shader","PASS","10","10","23017","23136","22119","23484","230171","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","uniform_thrash.uniform_thrash","PASS","10","10","2612","1778.5","1701","8863","26124","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","vertex_buffer_allocation.mixed.arrays","PASS","10","10","23239","22895.5","22787","25713","232395","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","vertex_buffer_allocation.mixed.inline_arrays","PASS","10","10","139746","140023","136453","141967","1397463","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","vertex_buffer_allocation.mixed.inline_buffers","PASS","10","10","637682","636339.5","629183","648978","6376821","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","vertex_buffer_allocation.mixed.inline_elements","PASS","10","10","35521","35182.5","35001","36721","355215","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","vertex_buffer_allocation.tiny.arrays","PASS","10","10","86325","87574","60519","94848","863259","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","vertex_buffer_allocation.tiny.inline_arrays","PASS","10","10","48188","49940.5","37245","64540","481888","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","vertex_buffer_allocation.tiny.inline_buffers","PASS","10","10","41250","39579.5","38382","46072","412500","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","vertex_buffer_allocation.tiny.inline_elements","PASS","10","10","56828","53475.5","40080","69232","568285","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","vertex_buffer_allocation.rising_transient_growth","PASS","1","1","678498","678498","678498","678498","678498","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","vertex_buffer_allocation.disjoint_same_page","PASS","10","10","40043","40488.5","34782","42125","400437","Context only: live-marker waiver; no PR-grade performance claim"
