"Build","Renderer","ID","Outcome","Iterations","Samples","Average_us","Median_us","Minimum_us","Maximum_us","Total_us","Timing_use"
"previous-main","opengl","game_load.s3tc_sync_factor.rgba8_dirty_once_redraw","PASS","8","8","16088","16625.5","12747","16923","128710","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.s3tc_sync_factor.bc2_native_eligible","PASS","8","8","15922","16445.5","11082","17535","127383","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.s3tc_sync_factor.bc2_bordered_fallback","PASS","8","8","50289","50231.5","48912","51515","402318","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.s3tc_sync_factor.bc3_native_eligible","PASS","8","8","16631","16712","15367","17443","133048","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.s3tc_sync_factor.bc3_bordered_fallback","PASS","8","8","50274","49880.5","49407","52110","402197","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.repeated_display","PASS","8","8","16654","16626","16258","17081","133234","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.repeated_display_boosted","PASS","8","8","49996","49966","49038","51009","399971","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.doax_menu_representative.cpu_only","PASS","8","8","13787","13876","13238","14002","110300","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.doax_menu_representative.pfifo_only","PASS","8","8","2521","2520","2430","2677","20171","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.doax_menu_representative.gpu_only","PASS","8","8","17178","17203.5","16930","17474","137430","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.doax_menu_representative.streaming_only","PASS","8","8","4736","4723","4432","5299","37895","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.doax_menu_representative.cpu_pfifo_gpu","PASS","8","8","33754","33576.5","33436","34497","270033","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.doax_menu_representative.cpu_pfifo_gpu_streaming","PASS","8","8","36511","36533.5","35559","37945","292093","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.doax_menu_representative.full_system","PASS","8","8","36968","36688","35705","40997","295747","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.doax_menu_stress.cpu_only","PASS","8","8","27161","26995","26523","27970","217290","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.doax_menu_stress.pfifo_only","PASS","8","8","4861","4762","4673","5108","38893","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.doax_menu_stress.gpu_only","PASS","8","8","34696","34592.5","34192","35238","277570","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.doax_menu_stress.streaming_only","PASS","8","8","8996","9078.5","8066","10155","71974","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.doax_menu_stress.cpu_pfifo_gpu","PASS","8","8","66489","66505","66169","67053","531915","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.doax_menu_stress.cpu_pfifo_gpu_streaming","PASS","8","8","72235","71705.5","71121","76431","577882","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.doax_menu_stress.full_system","PASS","8","8","73134","72440","71048","79272","585079","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.pgr2_ai_backup.cpu_only","PASS","8","8","43034","42999","42474","43768","344279","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.pgr2_ai_backup.pfifo_only","PASS","8","8","16944","16964.5","16732","17216","135558","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.pgr2_ai_backup.gpu_only","PASS","8","8","89370","89473","88090","90231","714965","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.pgr2_ai_backup.streaming_only","PASS","8","8","3552","3272.5","3022","4618","28423","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.pgr2_ai_backup.cpu_pfifo_gpu","PASS","8","8","150161","149630","148117","155433","1201292","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.pgr2_ai_backup.cpu_pfifo_gpu_streaming","PASS","8","8","149872","149866.5","148203","151692","1198983","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","game_load.pgr2_ai_backup.full_system","PASS","8","8","151367","150919","150066","153613","1210937","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","high_vertex_count.arrays","PASS","100","100","204","69.5","56","1740","20452","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","high_vertex_count.inline_arrays","PASS","10","10","44908","44803","44014","46954","449089","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","high_vertex_count.inline_buffers","PASS","5","5","227218","226794","225929","230191","1136090","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","high_vertex_count.inline_elements","PASS","50","50","3945","3940.5","3658","4397","197280","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","pfifo_array_elements.array_element_pgr2","PASS","8","8","1205","1194","627","1841","9646","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","pfifo_array_elements.array_element16","PASS","8","8","1271","1298","603","1695","10168","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","pfifo_array_elements.array_element32","PASS","8","8","1462","1327.5","1145","1964","11698","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","pfifo_packet_boundary.array_element16_overflow","PASS","1","1","15667","15667","15667","15667","15667","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","pfifo_packet_boundary.array_element32_overflow","PASS","1","1","31017","31017","31017","31017","31017","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","pfifo_packet_boundary.inline_array_overflow","PASS","1","1","30138","30138","30138","30138","30138","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","pfifo_packet_boundary.incrementing_inline_fallback","PASS","1","1","132","132","132","132","132","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","texture_cubemap_fallback.unbordered_subblock_dxt1","FAIL","8","8","16684","16778.5","15325","18339","133472","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","pipeline_texture_switch.clear_texture_normal","PASS","8","8","9980","9916","9122","11038","79846","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","pipeline_texture_switch.palette_only_update","PASS","1","1","19819","19819","19819","19819","19819","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","pipeline_texture_switch.sampler_only_identity","PASS","8","8","22462","22448.5","21980","23052","179702","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","pipeline_texture_switch.shader_negative_control","PASS","8","8","18312","18249","17806","19476","146497","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","pipeline_texture_switch.shared_page_overlap","PASS","1","1","19826","19826","19826","19826","19826","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","pipeline_texture_switch.texture_switch","PASS","8","8","18452","18354.5","18156","19129","147620","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","primitive_type.line_loop.fixed_function","PASS","10","10","820","714","669","1635","8202","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","primitive_type.line_loop.vertex_shader","PASS","10","10","764","732","631","1314","7645","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","primitive_type.line_strip.fixed_function","PASS","10","10","753","703.5","676","1122","7534","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","primitive_type.line_strip.vertex_shader","PASS","10","10","718","670.5","637","1002","7185","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","primitive_type.lines.fixed_function","PASS","10","10","1333","1376.5","1052","1512","13333","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","primitive_type.lines.vertex_shader","PASS","10","10","1342","1294","1191","1714","13428","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","primitive_type.points.fixed_function","PASS","10","10","711","651","634","1234","7113","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","primitive_type.points.vertex_shader","PASS","10","10","708","669","651","960","7081","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","primitive_type.polygon.fixed_function","PASS","10","10","766","704.5","670","1202","7663","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","primitive_type.polygon.vertex_shader","PASS","10","10","749","718","635","1128","7498","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","primitive_type.quad_strip.fixed_function","PASS","10","10","1351","1320","1153","1695","13519","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","primitive_type.quad_strip.vertex_shader","PASS","10","10","1354","1307","1133","1920","13542","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","primitive_type.quads.fixed_function","PASS","10","10","2271","2261","2031","2661","22715","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","primitive_type.quads.vertex_shader","PASS","10","10","2312","2248","2053","2666","23126","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","primitive_type.triangle_fan.fixed_function","PASS","10","10","737","679.5","629","1127","7374","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","primitive_type.triangle_fan.vertex_shader","PASS","10","10","730","701.5","624","1105","7305","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","primitive_type.triangle_strip.fixed_function","PASS","10","10","671","664.5","636","753","6713","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","primitive_type.triangle_strip.vertex_shader","PASS","10","10","879","839","750","1060","8799","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","primitive_type.triangles.fixed_function","PASS","10","10","1910","1922.5","1673","2136","19105","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","primitive_type.triangles.vertex_shader","PASS","10","10","1958","1969.5","1884","2019","19585","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","report_query.clear_boundary","PASS","4","4","657","701.5","291","934","2628","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","report_query.dma_descriptor_rewrite","PASS","1","1","1368","1368","1368","1368","1368","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","report_query.dma_range_guard","FAIL","1","1","10024888","10024888","10024888","10024888","10024888","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","report_query.dma_target_switch","PASS","4","4","1264","1297.5","1153","1311","5059","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","opengl","report_query.fifo_producer_ordering","PASS","4","4","1067","987","935","1360","4269","Context only: live-marker waiver; no PR-grade performance claim"
