"Build","Renderer","ID","Outcome","Iterations","Samples","Average_us","Median_us","Minimum_us","Maximum_us","Total_us","Timing_use"
"candidate","vulkan","game_load.s3tc_sync_factor.rgba8_dirty_once_redraw","PASS","8","8","15682","16571.5","9222","17029","125463","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.s3tc_sync_factor.bc2_native_eligible","PASS","8","8","16441","16565.5","15356","17030","131530","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.s3tc_sync_factor.bc2_bordered_fallback","PASS","8","8","50468","50200.5","48127","54754","403745","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.s3tc_sync_factor.bc3_native_eligible","PASS","8","8","18173","16668","16272","29049","145387","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.s3tc_sync_factor.bc3_bordered_fallback","PASS","8","8","50402","49921","48921","54677","403219","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.repeated_display","PASS","8","8","16536","16583","16069","16827","132288","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.repeated_display_boosted","PASS","8","8","49860","49994.5","48934","50015","398880","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.doax_menu_representative.cpu_only","PASS","8","8","13644","13582","13472","13893","109158","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.doax_menu_representative.pfifo_only","PASS","8","8","2503","2489","2424","2572","20030","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.doax_menu_representative.gpu_only","PASS","8","8","21081","21089.5","20402","22054","168653","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.doax_menu_representative.streaming_only","PASS","8","8","5900","5799","5612","6594","47206","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.doax_menu_representative.cpu_pfifo_gpu","PASS","8","8","33976","34091.5","33303","34412","271814","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.doax_menu_representative.cpu_pfifo_gpu_streaming","PASS","8","8","38841","38779","38459","39514","310729","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","game_load.doax_menu_representative.full_system","PASS","8","8","40260","39630.5","38789","45006","322083","Context only: live-marker waiver; no PR-grade performance claim"
