target_pid,target_tid,last_switch_out_s,ready_s,switch_in_s,next_switch_out_s,waits_us,ready_us,cpu_usage_ms,count,cpu,readying_scope,readying_tid
6568,5992,41.722907300,41.733779100,41.733783500,41.734175400,"10,871.800",4.400,0.391900,1,14,same_process,12560
6568,5992,41.734175400,41.734634200,41.734637800,41.735208300,458.800,3.600,0.570500,1,9,same_process,12560
6568,5992,41.735208300,41.736184100,41.736187900,41.736603500,975.800,3.800,0.415600,1,9,same_process,12560
6568,5992,41.736603500,41.736609400,41.736613100,41.736623400,5.900,3.700,0.010300,1,9,same_process,12564
6568,5992,41.736623400,41.736624200,41.736627100,41.736635400,0.800,2.900,0.008300,1,9,same_process,12564
6568,5992,41.736635400,41.736705700,41.736709300,41.736750600,70.300,3.600,0.041300,1,9,same_process,12564
6568,5992,41.736750600,41.736918600,41.736922600,41.737128900,168.000,4.000,0.206300,1,9,same_process,12564
6568,5992,41.737128900,41.738853100,41.738857200,41.738874400,"1,724.200",4.100,0.017200,1,10,same_process,12560
6568,5992,41.738874400,41.739154400,41.739159600,41.739328300,280.000,5.200,0.168700,1,10,same_process,12564
6568,5992,41.739328300,41.739343900,41.739348100,41.739622100,15.600,4.200,0.274000,1,10,same_process,12564
6568,5992,41.739622100,41.740223200,41.740227000,41.740245600,601.100,3.800,0.018600,1,9,external,3608
6568,5992,41.740245600,41.740257500,41.740260400,41.740270000,11.900,2.900,0.009600,1,9,same_process,12564
6568,5992,41.740270000,41.744549900,41.744554500,41.744696300,"4,279.900",4.600,0.141800,1,6,same_process,4612
6568,5992,41.744696300,41.745177800,41.745181600,41.745338300,481.500,3.800,0.156700,1,9,same_process,12560
6568,5992,41.745338300,41.752472700,41.752477600,41.752820600,"7,134.400",4.900,0.343000,1,9,same_process,12564
6568,5992,41.752820600,41.752854300,41.752858800,41.753182500,33.700,4.500,0.323700,1,9,same_process,12564
6568,5992,41.753182500,41.753294300,41.753298500,41.753987200,111.800,4.200,0.688700,1,9,same_process,12564
6568,5992,41.753987200,41.754111200,41.754115300,41.754457600,124.000,4.100,0.342300,1,9,same_process,12564
6568,5992,41.754457600,41.754539200,41.754542700,41.754787000,81.600,3.500,0.244300,1,9,same_process,12564
6568,5992,41.754787000,41.754980500,41.754984100,41.755369200,193.500,3.600,0.385100,1,9,same_process,12564
6568,5992,41.755369200,41.755581200,41.755585200,41.755826000,212.000,4.000,0.240800,1,9,same_process,12564
6568,5992,41.755826000,41.755955900,41.755959700,41.756119600,129.900,3.800,0.159900,1,9,same_process,12564
6568,5992,41.756119600,41.756594600,41.756598500,41.756860400,475.000,3.900,0.261900,1,9,same_process,12564
6568,5992,41.756860400,41.756898600,41.756902100,41.757123400,38.200,3.500,0.221300,1,9,same_process,12564
6568,5992,41.757123400,41.757515600,41.757519000,41.757756600,392.200,3.400,0.237600,1,9,same_process,12564
6568,5992,41.757756600,41.758050100,41.758053500,41.758313800,293.500,3.400,0.260300,1,9,same_process,12564
6568,5992,41.758313800,41.758502900,41.758506300,41.758749500,189.100,3.400,0.243200,1,9,same_process,12564
6568,5992,41.758749500,41.758866000,41.758869600,41.759050200,116.500,3.600,0.180600,1,9,same_process,12564
6568,5992,41.759050200,41.759280400,41.759284000,41.759533500,230.200,3.600,0.249500,1,9,same_process,12564
6568,5992,41.759533500,41.759729300,41.759732900,41.759990700,195.800,3.600,0.257800,1,9,same_process,12564
6568,5992,41.759990700,41.760140900,41.760144500,41.760330600,150.200,3.600,0.186100,1,9,same_process,12564
6568,5992,41.760330600,41.760634200,41.760637800,41.760862800,303.600,3.600,0.225000,1,9,same_process,12564
6568,5992,41.760862800,41.761057900,41.761061500,41.761296400,195.100,3.600,0.234900,1,9,same_process,12564
6568,5992,41.761296400,41.761422200,41.761425300,41.761632900,125.800,3.100,0.207600,1,9,same_process,12564
6568,5992,41.761632900,41.761811600,41.761815200,41.762026100,178.700,3.600,0.210900,1,9,same_process,12564
6568,5992,41.762026100,41.762249100,41.762252800,41.762437200,223.000,3.700,0.184400,1,9,same_process,12564
6568,5992,41.762437200,41.762694300,41.762698000,41.762890500,257.100,3.700,0.192500,1,9,same_process,12564
6568,5992,41.762890500,41.763376700,41.763380300,41.763713700,486.200,3.600,0.333400,1,9,same_process,12564
