target_pid,target_tid,timestamp_s,weight_ms,count,leaf_class,leaf_module,xemu_rva
6568,5992,23.668678000,1.000000,1,xemu_image,xemu.exe,0x001d3d78
6568,5992,23.681203500,1.000000,1,external_module,msvcrt.dll,
6568,5992,23.983988400,1.000000,1,external_module,msvcrt.dll,
6568,5992,24.678959300,1.000000,1,xemu_image,xemu.exe,0x0011e581
6568,5992,24.976247600,1.000000,1,xemu_image,xemu.exe,0x001d4684
6568,5992,25.105167700,1.000000,1,external_module,nvoglv64.dll,
6568,5992,25.111015000,1.000000,1,xemu_image,xemu.exe,0x001d469a
6568,5992,26.538474700,1.000000,1,external_module,KernelBase.dll,
6568,5992,27.157800600,1.000000,1,external_module,msvcrt.dll,
6568,5992,27.841035500,1.000000,1,external_module,msvcrt.dll,
6568,5992,28.490332100,1.000000,1,external_module,nvoglv64.dll,
6568,5992,28.767164300,1.000000,1,xemu_image,xemu.exe,0x0011e644
6568,5992,29.065759500,1.000000,1,external_module,nvoglv64.dll,
6568,5992,30.341372500,1.000000,1,xemu_image,xemu.exe,0x002ab038
6568,5992,30.346614700,1.000000,1,xemu_image,xemu.exe,0x001d3ff1
6568,5992,30.773275600,1.000000,1,external_module,msvcrt.dll,
6568,5992,31.237775900,1.000000,1,external_module,nvoglv64.dll,
6568,5992,31.511870800,1.000000,1,external_module,nvlddmkm.sys,
6568,5992,31.604396100,1.000000,1,xemu_image,xemu.exe,0x00275605
6568,5992,32.978518500,1.000000,1,xemu_image,xemu.exe,0x0011e65f
6568,5992,33.700982800,1.000000,1,xemu_image,xemu.exe,0x001dc631
6568,5992,33.738836700,1.000000,1,xemu_image,xemu.exe,0x0029dccd
6568,5992,34.698212600,1.000000,1,xemu_image,xemu.exe,0x0028f76f
6568,5992,34.725697500,1.000000,1,xemu_image,xemu.exe,0x002968f2
6568,5992,34.726986600,1.000000,1,external_module,msvcrt.dll,
6568,5992,34.741386900,1.000000,1,external_module,ntdll.dll,
6568,5992,34.855141600,1.000000,1,external_module,ntoskrnl.exe,
6568,5992,35.540286500,1.000000,1,external_module,nvoglv64.dll,
6568,5992,36.690335200,1.000000,1,external_module,nvoglv64.dll,
6568,5992,36.786686900,1.000000,1,xemu_image,xemu.exe,0x003dc093
6568,5992,38.811008400,1.000000,1,external_module,nvlddmkm.sys,
