gpu,test_id,kind,outcome,iterations,sample_count,guest_average_us,guest_median_us,framebuffer_fnv1a64
nvidia,game_load.doax_menu_stress.cpu_pfifo_gpu_streaming,leaf,PASS,8,8,73390,73445.0,5dbf320b91a86325
nvidia,game_load.doax_menu_stress.full_system,leaf,PASS,8,8,74021,73449.5,545f7965debce325
nvidia,game_load.pgr2_ai_backup.cpu_only,leaf,PASS,8,8,42216,42050.0,e086b0a920c42325
nvidia,game_load.pgr2_ai_backup.pfifo_only,leaf,PASS,8,8,14413,14327.0,5bc1b07714da2325
nvidia,game_load.pgr2_ai_backup.gpu_only,leaf,PASS,8,8,84141,84212.0,f8348ac6eeaaa325
nvidia,game_load.pgr2_ai_backup.streaming_only,leaf,PASS,8,8,4759,4229.5,f43007e31b972325
nvidia,game_load.pgr2_ai_backup.cpu_pfifo_gpu,leaf,PASS,8,8,140804,140453.5,48c0585f003ea325
nvidia,game_load.pgr2_ai_backup.cpu_pfifo_gpu_streaming,leaf,PASS,8,8,144608,144768.0,e0430415b6dbe325
nvidia,game_load.pgr2_ai_backup.full_system,leaf,PASS,8,8,144560,144318.0,cb91c33db5046325
nvidia,high_vertex_count.arrays,leaf,PASS,100,100,166,85.0,a27c67890c2d9083
nvidia,high_vertex_count.inline_arrays,leaf,PASS,10,10,49054,47761.0,a27c67890c2d9083
nvidia,high_vertex_count.inline_buffers,leaf,PASS,5,5,232511,232330,a27c67890c2d9083
nvidia,high_vertex_count.inline_elements,leaf,PASS,50,50,4008,4001.5,a27c67890c2d9083
nvidia,pfifo_array_elements.array_element_pgr2,leaf,PASS,8,8,1338,478.5,bbc8b0702ffd0325
nvidia,pfifo_array_elements.array_element16,leaf,PASS,8,8,612,602.0,9c884de2a5d32325
nvidia,pfifo_array_elements.array_element32,leaf,PASS,8,8,1032,1020.0,e079f0cf1a994325
nvidia,pfifo_packet_boundary.array_element16_overflow,leaf,PASS,1,1,16482,16482,4d1756526f052325
nvidia,pfifo_packet_boundary.array_element32_overflow,leaf,PASS,1,1,32517,32517,6eb7071be692a325
nvidia,pfifo_packet_boundary.inline_array_overflow,leaf,PASS,1,1,32710,32710,847da1930526a325
nvidia,pfifo_packet_boundary.incrementing_inline_fallback,leaf,PASS,1,1,109,109,640439ee8ecd2325
nvidia,texture_cubemap_fallback.unbordered_subblock_dxt1,leaf,PASS,8,8,14896,16622.0,be0f2013c1997ca5
nvidia,pipeline_texture_switch.clear_texture_normal,leaf,PASS,8,8,28426,28694.0,22ba4f1405cda325
nvidia,pipeline_texture_switch.palette_only_update,leaf,PASS,1,1,24617,24617,467aab2f95cda325
nvidia,pipeline_texture_switch.sampler_only_identity,leaf,PASS,8,8,21373,21705.5,0b8438c8404da325
nvidia,pipeline_texture_switch.shader_negative_control,leaf,PASS,8,8,20360,19939.5,f110c8bd6338c325
nvidia,pipeline_texture_switch.shared_page_overlap,leaf,PASS,1,1,18417,18417,83bb59a8648da325
nvidia,pipeline_texture_switch.texture_switch,leaf,PASS,8,8,18941,18019.0,8ae05d31fb00c325
nvidia,primitive_type.line_loop.fixed_function,leaf,PASS,10,10,1049,641.5,f2158581ac6e3919
nvidia,primitive_type.line_loop.vertex_shader,leaf,PASS,10,10,668,616.0,f2158581ac6e3919
nvidia,primitive_type.line_strip.fixed_function,leaf,PASS,10,10,679,619.0,f2158581ac6e3919
nvidia,primitive_type.line_strip.vertex_shader,leaf,PASS,10,10,660,619.5,f2158581ac6e3919
nvidia,primitive_type.lines.fixed_function,leaf,PASS,10,10,1236,1176.5,1766a7f93aa72a14
nvidia,primitive_type.lines.vertex_shader,leaf,PASS,10,10,1194,1159.0,1766a7f93aa72a14
nvidia,primitive_type.points.fixed_function,leaf,PASS,10,10,1178,620.5,5b296619f665c070
nvidia,primitive_type.points.vertex_shader,leaf,PASS,10,10,1257,618.0,5b296619f665c070
nvidia,primitive_type.polygon.fixed_function,leaf,PASS,10,10,706,627.5,2c4beaa06aba1000
nvidia,primitive_type.polygon.vertex_shader,leaf,PASS,10,10,658,618.5,2c4beaa06aba1000
nvidia,primitive_type.quad_strip.fixed_function,leaf,PASS,10,10,1873,1170.5,f64b4495347cec73
nvidia,primitive_type.quad_strip.vertex_shader,leaf,PASS,10,10,1307,1147.0,f64b4495347cec73
nvidia,primitive_type.quads.fixed_function,leaf,PASS,10,10,2296,2261.0,114a1419338256e5
nvidia,primitive_type.quads.vertex_shader,leaf,PASS,10,10,2300,2262.0,114a1419338256e5
nvidia,primitive_type.triangle_fan.fixed_function,leaf,PASS,10,10,684,609.5,36644f0fd11db166
nvidia,primitive_type.triangle_fan.vertex_shader,leaf,PASS,10,10,674,633.5,36644f0fd11db166
nvidia,primitive_type.triangle_strip.fixed_function,leaf,PASS,10,10,648,612.0,d7b289579fdaa1ab
nvidia,primitive_type.triangle_strip.vertex_shader,leaf,PASS,10,10,659,619.5,d7b289579fdaa1ab
nvidia,primitive_type.triangles.fixed_function,leaf,PASS,10,10,1834,1787.5,72f05baf369ceb60
nvidia,primitive_type.triangles.vertex_shader,leaf,PASS,10,10,1791,1681.5,72f05baf369ceb60
nvidia,report_query.clear_boundary,leaf,PASS,4,4,1744,1550.5,b5eb7c4b9c8da325
nvidia,report_query.dma_descriptor_rewrite,leaf,PASS,1,1,11775,11775,c0c0fdbececda325
nvidia,report_query.dma_range_guard,leaf,FAIL,1,1,12045233,12045233,3f648ce11a4da325
nvidia,report_query.dma_target_switch,leaf,PASS,4,4,1999,1642.0,4c4bd8cd440da325
nvidia,report_query.fifo_producer_ordering,leaf,PASS,4,4,2970,2680.0,0d907c24a88da325
nvidia,report_query.multiple_boundaries,leaf,PASS,4,4,1677,1356.0,0c966fc9ba4da325
nvidia,report_query.single_boundary,leaf,PASS,4,4,1569,1348.0,60e674c9fecda325
nvidia,report_query.zero_query,leaf,PASS,4,4,1640,1286.5,23875dfeb40da325
nvidia,surface.basic,leaf,PASS,10,10,41731,36852.5,5a719d88d8221fb2
nvidia,surface.cpu_read_after_gpu_write,leaf,PASS,20,20,2144,1962.0,76ea18af98322325
nvidia,surface.cpu_read_clean_surface,leaf,PASS,100,100,61,59.0,d3267b427820a325
nvidia,surface.framebuffer_working_set_002,leaf,PASS,20,20,2383,2146.5,9f3b0609a42777d5
nvidia,surface.framebuffer_working_set_008,leaf,PASS,20,20,2333,2039.5,64cbf95dec8f59e5
nvidia,surface.framebuffer_working_set_032,leaf,PASS,20,20,2480,2179.5,a6116feb11a28c25
nvidia,surface.framebuffer_working_set_064,leaf,PASS,20,20,2597,2243.0,a6116feb11a28c25
nvidia,surface.full_clear_elision_guard,leaf,PASS,100,100,2972,2958.0,4f05ccd43f43d495
nvidia,surface.overlapping_surface_churn_representative,leaf,PASS,100,100,2909,2887.0,caf66d4bf5691525
nvidia,surface.overlapping_surface_churn_stress,leaf,PASS,10,10,45038,44941.5,caf66d4bf5691525
nvidia,surface.partial_channel_clear_guard,leaf,PASS,100,100,1947,1911.0,eb2cb498aa73af25
nvidia,surface.surface_download_path,leaf,PASS,10,10,33622,32832.0,2b0e8aac0f8838e8
nvidia,surface.surface_list_lookup_002,leaf,PASS,20,20,1788,1667.5,dce4c9394e7a3f35
nvidia,surface.surface_list_lookup_008,leaf,PASS,20,20,1825,1663.5,bf1fe5b8fe78a94d
nvidia,surface.surface_list_lookup_032,leaf,PASS,20,20,1926,1702.0,c6275b91195a5325
nvidia,surface.surface_list_lookup_128,leaf,PASS,20,20,2149,1838.0,c6275b91195a5325
nvidia,surface.vulkan_memory_pressure.representative.growth,leaf,PASS,4,4,32930,28378.5,c1b304b452852b25
nvidia,surface.vulkan_memory_pressure.representative.plateau,leaf,PASS,4,4,28586,28443.5,730005d86af45b25
nvidia,surface.vulkan_memory_pressure.representative.alias_resize,leaf,PASS,4,4,31418,29378.0,0c26236493b4d325
nvidia,surface.vulkan_memory_pressure.representative.reuse,leaf,PASS,4,4,30858,28926.0,3ba0d18066aacb25
nvidia,surface.vulkan_memory_pressure.representative.idle_retention,leaf,PASS,4,4,676,617.0,3a8651789ea0fa25
nvidia,surface.vulkan_memory_pressure.representative,group,PASS,0,0,0,,7e188dabb186cb25
nvidia,surface.vulkan_memory_pressure.stress.growth,leaf,PASS,4,4,127372,116374.5,94cdb4bddb0e4b25
nvidia,surface.vulkan_memory_pressure.stress.plateau,leaf,PASS,4,4,118343,118216.5,196f33989be28325
nvidia,surface.vulkan_memory_pressure.stress.alias_resize,leaf,PASS,4,4,132906,124973.0,84a8d75f1f9d1b25
nvidia,surface.vulkan_memory_pressure.stress.reuse,leaf,PASS,4,4,132550,124974.5,fb2a6abd1cbfc725
nvidia,surface.vulkan_memory_pressure.stress.idle_retention,leaf,PASS,4,4,1999,1552.0,430711a262877725
nvidia,surface.vulkan_memory_pressure.stress,group,PASS,0,0,0,,7e188dabb186cb25
nvidia,tiny_draw.arrays.fixed_function,leaf,PASS,10,10,21352,21387.0,acf025546cf667b5
nvidia,tiny_draw.arrays.vertex_shader,leaf,PASS,10,10,21003,20922.0,acf025546cf667b5
nvidia,tiny_draw.inline_arrays.fixed_function,leaf,PASS,10,10,35695,36339.5,acf025546cf667b5
nvidia,tiny_draw.inline_arrays.vertex_shader,leaf,PASS,10,10,35427,35615.5,acf025546cf667b5
nvidia,tiny_draw.inline_buffers.fixed_function,leaf,PASS,10,10,43426,43717.0,acf025546cf667b5
nvidia,tiny_draw.inline_buffers.vertex_shader,leaf,PASS,10,10,43738,44032.5,acf025546cf667b5
nvidia,tiny_draw.inline_elements.fixed_function,leaf,PASS,10,10,20788,20703.5,acf025546cf667b5
nvidia,tiny_draw.inline_elements.vertex_shader,leaf,PASS,10,10,20723,20727.0,acf025546cf667b5
nvidia,uniform_thrash.uniform_thrash,leaf,PASS,10,10,2407,1671.5,09eb5907ef624c25
nvidia,vertex_buffer_allocation.mixed.arrays,leaf,PASS,10,10,23303,23224.0,377e6c029807f325
nvidia,vertex_buffer_allocation.mixed.inline_arrays,leaf,PASS,10,10,138012,137401.0,377e6c029807f325
nvidia,vertex_buffer_allocation.mixed.inline_buffers,leaf,PASS,10,10,596070,592788.0,377e6c029807f325
nvidia,vertex_buffer_allocation.mixed.inline_elements,leaf,PASS,10,10,35878,35690.5,377e6c029807f325
nvidia,vertex_buffer_allocation.tiny.arrays,leaf,PASS,10,10,86320,88755.5,377e6c029807f325
nvidia,vertex_buffer_allocation.tiny.inline_arrays,leaf,PASS,10,10,49424,50836.0,377e6c029807f325
nvidia,vertex_buffer_allocation.tiny.inline_buffers,leaf,PASS,10,10,41875,39751.5,377e6c029807f325
nvidia,vertex_buffer_allocation.tiny.inline_elements,leaf,PASS,10,10,56887,52297.5,377e6c029807f325
nvidia,vertex_buffer_allocation.rising_transient_growth,leaf,PASS,1,1,660480,660480,377e6c029807f325
nvidia,vertex_buffer_allocation.disjoint_same_page,leaf,PASS,10,10,40173,40830.0,fdcd25a37910bb25
amd,busy_pfifo.pfifo_saturation,leaf,PASS,10,10,105750,103441.0,618832b1599bf211
