run_id,phase,gpu,actual_gpu_name,actual_gpu_uuid,presentation,fps,guest_mean_ms,guest_p95_ms,guest_p99_ms,guest_max_ms,guest_stalls_75ms,guest_frames,host_present_mean_ms,host_present_p95_ms,host_present_p99_ms,host_present_max_ms,spirv_hits,spirv_misses,spirv_rejections,spirv_fallbacks,functional_status,measurement_status
pr76-c40375db7f-pgr2-snapshot-nvidia-r1,initial,nvidia,NVIDIA GeForce RTX 3070 Ti Laptop GPU,06af030bb691ba528d6e537f143ca591,shared external memory,29.592764465920645,33.781538288288296,38.868,43.014,55.131,0,1776,16.676702977184178,27.8154,31.1599,38.0133,29,112,0,0,complete,complete
pr76-c40375db7f-pgr2-snapshot-nvidia-warm-r2,reuse,nvidia,NVIDIA GeForce RTX 3070 Ti Laptop GPU,06af030bb691ba528d6e537f143ca591,shared external memory,29.384450617774128,34.00405895691601,39.718,42.989,58.48,0,1764,16.669191796440465,28.7134,32.0409,35.9788,140,0,0,0,complete,complete
pr76-c40375db7f-pgr2-snapshot-amd-cold-r1,initial,amd,AMD Radeon(TM) Graphics,00000000350000000000000000000000,host copy,25.06825348228199,39.85386245847171,48.416,60.827,345.636,8,1505,16.801519450672643,33.6881,37.5594,309.54060000000004,138,2,0,0,complete,complete
pr76-c40375db7f-pgr2-snapshot-amd-warm-r2,reuse,amd,AMD Radeon(TM) Graphics,00000000350000000000000000000000,host copy,25.414652831675983,39.34649639344262,47.374,55.764,100.149,1,1525,16.69997449832774,34.0582,37.9633,64.8919,141,0,0,0,complete,complete
