renderer,test_id,kind,baseline_outcome,main_outcome,pr85_outcome,parent_outcome,candidate_outcome,candidate_vs_baseline,pr85_vs_main,parent_vs_pr85,candidate_vs_parent,raw_direction,baseline_median_us,main_median_us,pr85_median_us,parent_median_us,candidate_median_us,improvement_parent_vs_pr85_pct,improvement_pr85_vs_main_pct,improvement_vs_baseline_pct,improvement_vs_parent_pct,baseline_hash,main_hash,pr85_hash,parent_hash,candidate_hash
vulkan,game_load.cross_title_hotpath.s3tc_streaming_fenced_draws,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,1219623,1233404,1246581,1258093,-1.07,-1.13,,-0.92,,1a65246e1a0ea325,1a65246e1a0ea325,1a65246e1a0ea325,1a65246e1a0ea325
vulkan,game_load.cross_title_hotpath.scaled_surface_pressure,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,658528,663021,648811,583849,+2.14,-0.68,,+10.01,,32a69ec6dce52325,32a69ec6dce52325,32a69ec6dce52325,32a69ec6dce52325
vulkan,game_load.cross_title_hotpath.surface_reuse,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,9817,9052,9745,8412,-7.66,+7.79,,+13.68,,37f87c4938cd6325,37f87c4938cd6325,37f87c4938cd6325,37f87c4938cd6325
vulkan,game_load.cross_title_hotpath.texture_binding_reuse,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,216745,220479,219991,148499,+0.22,-1.72,,+32.50,,6b9bae4b9c97a325,6b9bae4b9c97a325,6b9bae4b9c97a325,6b9bae4b9c97a325
vulkan,game_load.cross_title_hotpath.texture_update_reuse,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,3158,2963,3320,2988,-12.05,+6.17,,+10.00,,44fcd2c900a5a325,44fcd2c900a5a325,44fcd2c900a5a325,44fcd2c900a5a325
vulkan,game_load.doax_menu_representative.cpu_only,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,13691,13558,13524,13708,+0.25,+0.97,,-1.36,,c9ffff20249e2325,c9ffff20249e2325,c9ffff20249e2325,c9ffff20249e2325
vulkan,game_load.doax_menu_representative.cpu_pfifo_gpu,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,32017,32187,33435,33090,-3.88,-0.53,,+1.03,,04157941d1aa6325,04157941d1aa6325,04157941d1aa6325,04157941d1aa6325
vulkan,game_load.doax_menu_representative.cpu_pfifo_gpu_streaming,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,36772,37224,38188,38297,-2.59,-1.23,,-0.29,,e6d7900d809f6325,e6d7900d809f6325,e6d7900d809f6325,e6d7900d809f6325
vulkan,game_load.doax_menu_representative.full_system,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,36813,37358,37210,38955,+0.40,-1.48,,-4.69,,3ebb8ee340a52325,3ebb8ee340a52325,3ebb8ee340a52325,3ebb8ee340a52325
vulkan,game_load.doax_menu_representative.gpu_only,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,15946,16131,16728,17193,-3.70,-1.16,,-2.78,,fbd6d6be7f982325,fbd6d6be7f982325,fbd6d6be7f982325,fbd6d6be7f982325
