renderer,test_id,kind,main_outcome,main_hash,main_median_us,pr85_outcome,pr85_hash,pr85_median_us,pr87_outcome,pr87_hash,pr87_median_us,pr89_outcome,pr89_hash,pr89_median_us,main_to_pr85_status,main_to_pr85_improvement_pct,pr85_to_pr87_status,pr85_to_pr87_improvement_pct,pr87_to_pr89_status,pr87_to_pr89_improvement_pct,main_to_pr89_status,main_to_pr89_improvement_pct
vulkan,game_load.cross_title_hotpath.queued_vertex_cpu_writes,leaf,PASS,ea21c900993ea325,84011,PASS,ea21c900993ea325,100313,PASS,ea21c900993ea325,100156,PASS,ea21c900993ea325,50372,OUTCOME_AND_HASH_MATCH,-19.40,OUTCOME_AND_HASH_MATCH,+0.16,OUTCOME_AND_HASH_MATCH,+49.71,OUTCOME_AND_HASH_MATCH,+40.04
vulkan,game_load.cross_title_hotpath.s3tc_streaming_fenced_draws,leaf,PASS,1a65246e1a0ea325,1219623,PASS,1a65246e1a0ea325,1251976,PASS,1a65246e1a0ea325,1259840,PASS,1a65246e1a0ea325,1369125,OUTCOME_AND_HASH_MATCH,-2.65,OUTCOME_AND_HASH_MATCH,-0.63,OUTCOME_AND_HASH_MATCH,-8.67,OUTCOME_AND_HASH_MATCH,-12.26
vulkan,game_load.cross_title_hotpath.scaled_surface_pressure,leaf,PASS,32a69ec6dce52325,658528,PASS,32a69ec6dce52325,660268,PASS,32a69ec6dce52325,663958,PASS,32a69ec6dce52325,666851,OUTCOME_AND_HASH_MATCH,-0.26,OUTCOME_AND_HASH_MATCH,-0.56,OUTCOME_AND_HASH_MATCH,-0.44,OUTCOME_AND_HASH_MATCH,-1.26
vulkan,game_load.cross_title_hotpath.surface_reuse,leaf,PASS,37f87c4938cd6325,9817,PASS,37f87c4938cd6325,9630,PASS,37f87c4938cd6325,9735,PASS,37f87c4938cd6325,9320,OUTCOME_AND_HASH_MATCH,+1.90,OUTCOME_AND_HASH_MATCH,-1.09,OUTCOME_AND_HASH_MATCH,+4.26,OUTCOME_AND_HASH_MATCH,+5.06
vulkan,game_load.cross_title_hotpath.texture_binding_reuse,leaf,PASS,6b9bae4b9c97a325,216745,PASS,6b9bae4b9c97a325,232791,PASS,6b9bae4b9c97a325,228534,PASS,6b9bae4b9c97a325,148183,OUTCOME_AND_HASH_MATCH,-7.40,OUTCOME_AND_HASH_MATCH,+1.83,OUTCOME_AND_HASH_MATCH,+35.16,OUTCOME_AND_HASH_MATCH,+31.63
vulkan,game_load.cross_title_hotpath.texture_update_reuse,leaf,PASS,44fcd2c900a5a325,3158,PASS,44fcd2c900a5a325,2884,PASS,44fcd2c900a5a325,2960,PASS,44fcd2c900a5a325,2758,OUTCOME_AND_HASH_MATCH,+8.68,OUTCOME_AND_HASH_MATCH,-2.64,OUTCOME_AND_HASH_MATCH,+6.82,OUTCOME_AND_HASH_MATCH,+12.67
vulkan,game_load.doax_menu_representative.cpu_only,leaf,PASS,c9ffff20249e2325,13691,PASS,c9ffff20249e2325,13487,PASS,c9ffff20249e2325,13398,PASS,c9ffff20249e2325,13385,OUTCOME_AND_HASH_MATCH,+1.49,OUTCOME_AND_HASH_MATCH,+0.66,OUTCOME_AND_HASH_MATCH,+0.10,OUTCOME_AND_HASH_MATCH,+2.24
vulkan,game_load.doax_menu_representative.cpu_pfifo_gpu,leaf,PASS,04157941d1aa6325,32017,PASS,04157941d1aa6325,31985,PASS,04157941d1aa6325,32267,PASS,04157941d1aa6325,32338,OUTCOME_AND_HASH_MATCH,+0.10,OUTCOME_AND_HASH_MATCH,-0.88,OUTCOME_AND_HASH_MATCH,-0.22,OUTCOME_AND_HASH_MATCH,-1.00
vulkan,game_load.doax_menu_representative.cpu_pfifo_gpu_streaming,leaf,PASS,e6d7900d809f6325,36772,PASS,e6d7900d809f6325,37065,PASS,e6d7900d809f6325,36933,PASS,e6d7900d809f6325,38056,OUTCOME_AND_HASH_MATCH,-0.80,OUTCOME_AND_HASH_MATCH,+0.36,OUTCOME_AND_HASH_MATCH,-3.04,OUTCOME_AND_HASH_MATCH,-3.49
vulkan,game_load.doax_menu_representative.full_system,leaf,PASS,3ebb8ee340a52325,36813,PASS,3ebb8ee340a52325,37844,PASS,3ebb8ee340a52325,37194,PASS,3ebb8ee340a52325,37705,OUTCOME_AND_HASH_MATCH,-2.80,OUTCOME_AND_HASH_MATCH,+1.72,OUTCOME_AND_HASH_MATCH,-1.37,OUTCOME_AND_HASH_MATCH,-2.42
