test_id,kind,parent_outcome,candidate_outcome,parent_hash,candidate_hash,parent_median_us,candidate_median_us,status,improvement_pct
game_load.long_unlocked_scene.combined,leaf,PASS,PASS,4efd9244c4ad2325,4efd9244c4ad2325,73426,75886,OUTCOME_AND_HASH_MATCH,-3.35
game_load.long_unlocked_scene.cpu,leaf,PASS,PASS,4efd9244c4ad2325,4efd9244c4ad2325,23940,23752,OUTCOME_AND_HASH_MATCH,+0.79
game_load.long_unlocked_scene.full_system,leaf,PASS,PASS,4efd9244c4ad2325,4efd9244c4ad2325,74842,75659,OUTCOME_AND_HASH_MATCH,-1.09
game_load.long_unlocked_scene.pfifo,leaf,PASS,PASS,4efd9244c4ad2325,4efd9244c4ad2325,4883,5097,OUTCOME_AND_HASH_MATCH,-4.38
game_load.long_unlocked_scene.streaming_surface_reuse,leaf,PASS,PASS,4efd9244c4ad2325,4efd9244c4ad2325,11814,11918,OUTCOME_AND_HASH_MATCH,-0.88
game_load.pgr2_ai_backup.cpu_only,leaf,PASS,PASS,e086b0a920c42325,e086b0a920c42325,41990,41945,OUTCOME_AND_HASH_MATCH,+0.11
game_load.pgr2_ai_backup.cpu_pfifo_gpu,leaf,PASS,PASS,48c0585f003ea325,48c0585f003ea325,138572,143944,OUTCOME_AND_HASH_MATCH,-3.88
game_load.pgr2_ai_backup.cpu_pfifo_gpu_streaming,leaf,PASS,PASS,e0430415b6dbe325,e0430415b6dbe325,142914,149390,OUTCOME_AND_HASH_MATCH,-4.53
game_load.pgr2_ai_backup.full_system,leaf,PASS,PASS,cb91c33db5046325,cb91c33db5046325,143546,150552,OUTCOME_AND_HASH_MATCH,-4.88
game_load.pgr2_ai_backup.gpu_only,leaf,PASS,PASS,f8348ac6eeaaa325,f8348ac6eeaaa325,82827,86815,OUTCOME_AND_HASH_MATCH,-4.81
game_load.pgr2_ai_backup.pfifo_only,leaf,PASS,PASS,5bc1b07714da2325,5bc1b07714da2325,14198,16057,OUTCOME_AND_HASH_MATCH,-13.09
