renderer,test_id,kind,parent_outcome,candidate_outcome,parent_framebuffer_fnv1a64,candidate_framebuffer_fnv1a64,comparison,raw_direction,parent_median_us,candidate_median_us,improvement_pct
opengl,game_load.long_unlocked_scene.alpha_overdraw,leaf,PASS,PASS,4efd9244c4ad2325,4efd9244c4ad2325,OUTCOME_AND_HASH_MATCH,+bad,32035,31593,+1.38
opengl,game_load.long_unlocked_scene.streaming_surface_reuse,leaf,PASS,PASS,4efd9244c4ad2325,4efd9244c4ad2325,OUTCOME_AND_HASH_MATCH,+bad,9002,9185,-2.03
opengl,game_load.long_unlocked_scene.combined,leaf,PASS,PASS,4efd9244c4ad2325,4efd9244c4ad2325,OUTCOME_AND_HASH_MATCH,+bad,69075,69656,-0.84
opengl,game_load.long_unlocked_scene.full_system,leaf,PASS,PASS,4efd9244c4ad2325,4efd9244c4ad2325,OUTCOME_AND_HASH_MATCH,+bad,68766,69375,-0.89
opengl,game_load.long_unlocked_scene,group,PASS,PASS,4efd9244c4ad2325,4efd9244c4ad2325,OUTCOME_AND_HASH_MATCH,,,,
opengl,game_load.cross_title_hotpath.queued_vertex_cpu_writes,leaf,PASS,PASS,ea21c900993ea325,ea21c900993ea325,OUTCOME_AND_HASH_MATCH,+bad,50390,50056,+0.66
opengl,game_load.cross_title_hotpath.pgr2_small_draws,leaf,PASS,PASS,151015a16ca46325,151015a16ca46325,OUTCOME_AND_HASH_MATCH,+bad,100406,100512,-0.11
opengl,game_load.cross_title_hotpath.texture_update_reuse,leaf,PASS,PASS,44fcd2c900a5a325,44fcd2c900a5a325,OUTCOME_AND_HASH_MATCH,+bad,2741,2749,-0.29
opengl,game_load.cross_title_hotpath.surface_reuse,leaf,PASS,PASS,37f87c4938cd6325,37f87c4938cd6325,OUTCOME_AND_HASH_MATCH,+bad,6496,6264,+3.57
opengl,game_load.cross_title_hotpath.pipeline_state_churn,leaf,PASS,PASS,4f8b2eab497ca325,4f8b2eab497ca325,OUTCOME_AND_HASH_MATCH,+bad,64881,65380,-0.77
opengl,game_load.cross_title_hotpath.blend_constant_reuse,leaf,PASS,PASS,58e80f99c5a56325,58e80f99c5a56325,OUTCOME_AND_HASH_MATCH,+bad,99889,99799,+0.09
opengl,game_load.cross_title_hotpath.texture_binding_reuse,leaf,PASS,PASS,6b9bae4b9c97a325,6b9bae4b9c97a325,OUTCOME_AND_HASH_MATCH,+bad,133335,133612,-0.21
opengl,game_load.cross_title_hotpath.pgr2_lagspot_inline_elements,leaf,PASS,PASS,2b9db92162606325,2b9db92162606325,OUTCOME_AND_HASH_MATCH,+bad,84024,83672,+0.42
opengl,game_load.cross_title_hotpath.scaled_surface_pressure,leaf,PASS,PASS,32a69ec6dce52325,32a69ec6dce52325,OUTCOME_AND_HASH_MATCH,+bad,232708,231577,+0.49
opengl,game_load.cross_title_hotpath.s3tc_streaming_fenced_draws,leaf,PASS,PASS,1a65246e1a0ea325,1a65246e1a0ea325,OUTCOME_AND_HASH_MATCH,+bad,2074357,2310608,-11.39
opengl,game_load.cross_title_hotpath.gpu_wait_control,leaf,PASS,PASS,e30500792076e325,e30500792076e325,OUTCOME_AND_HASH_MATCH,+bad,2398,2210,+7.84
opengl,game_load.cross_title_hotpath,group,PASS,PASS,e30500792076e325,e30500792076e325,OUTCOME_AND_HASH_MATCH,,,,
opengl,game_load.s3tc_sync_factor.dxt1_same_address_wait,leaf,PASS,PASS,3403675459d4d3d5,3403675459d4d3d5,OUTCOME_AND_HASH_MATCH,+bad,16602,16624,-0.13
opengl,game_load.s3tc_sync_factor.dxt1_same_address_queued,leaf,PASS,PASS,466ef062703c6f0d,3ecbb28ee44b3ed3,HASH_INELIGIBLE_OUTCOME_MATCH,+bad,16501,16648,-0.89
opengl,game_load.s3tc_sync_factor.dxt1_ring_payload_generations,leaf,PASS,PASS,3403675459d4d3d5,3403675459d4d3d5,OUTCOME_AND_HASH_MATCH,+bad,16751,16770,-0.11
opengl,game_load.s3tc_sync_factor.dxt1_dirty_once_redraw,leaf,PASS,PASS,428c04bbb0a62725,428c04bbb0a62725,OUTCOME_AND_HASH_MATCH,+bad,16628,16708,-0.48
opengl,game_load.s3tc_sync_factor.rgba8_same_address_wait,leaf,PASS,PASS,3403675459d4d3d5,3403675459d4d3d5,OUTCOME_AND_HASH_MATCH,+bad,49673,50430,-1.52
opengl,game_load.s3tc_sync_factor.rgba8_same_address_queued,leaf,PASS,PASS,2a4ee85df87c028f,b9fdc0b5a6e2fbdf,HASH_INELIGIBLE_OUTCOME_MATCH,+bad,49735,49628,+0.22
opengl,game_load.s3tc_sync_factor.rgba8_ring_payload_generations,leaf,PASS,PASS,3403675459d4d3d5,3403675459d4d3d5,OUTCOME_AND_HASH_MATCH,+bad,50097,49941,+0.31
opengl,game_load.s3tc_sync_factor.rgba8_dirty_once_redraw,leaf,PASS,PASS,428c04bbb0a62725,428c04bbb0a62725,OUTCOME_AND_HASH_MATCH,+bad,16473,16740,-1.62
opengl,game_load.s3tc_sync_factor.bc2_native_eligible,leaf,PASS,PASS,3403675459d4d3d5,3403675459d4d3d5,OUTCOME_AND_HASH_MATCH,+bad,16870,16652,+1.29
opengl,game_load.s3tc_sync_factor.bc2_bordered_fallback,leaf,PASS,PASS,3403675459d4d3d5,3403675459d4d3d5,OUTCOME_AND_HASH_MATCH,+bad,49705,49889,-0.37
opengl,game_load.s3tc_sync_factor.bc3_native_eligible,leaf,PASS,PASS,3403675459d4d3d5,3403675459d4d3d5,OUTCOME_AND_HASH_MATCH,+bad,16524,16604,-0.48
opengl,game_load.s3tc_sync_factor.bc3_bordered_fallback,leaf,PASS,PASS,3403675459d4d3d5,3403675459d4d3d5,OUTCOME_AND_HASH_MATCH,+bad,50014,49555,+0.92
opengl,game_load.s3tc_sync_factor,group,PASS,PASS,3403675459d4d3d5,3403675459d4d3d5,OUTCOME_AND_HASH_MATCH,,,,
opengl,game_load.repeated_display,leaf,PASS,PASS,e758dbbf4edc2325,e758dbbf4edc2325,OUTCOME_AND_HASH_MATCH,+bad,16650,16744,-0.56
opengl,game_load.repeated_display_boosted,leaf,PASS,PASS,60315b1c33b6a325,60315b1c33b6a325,OUTCOME_AND_HASH_MATCH,+bad,50184,49843,+0.68
opengl,game_load.doax_menu_representative.cpu_only,leaf,PASS,PASS,c9ffff20249e2325,c9ffff20249e2325,OUTCOME_AND_HASH_MATCH,+bad,13576,13585,-0.07
