renderer,test_id,kind,parent_outcome,candidate_outcome,parent_framebuffer_fnv1a64,candidate_framebuffer_fnv1a64,comparison,raw_direction,parent_median_us,candidate_median_us,improvement_pct
vulkan,vertex_buffer_allocation.rising_transient_growth,leaf,PASS,PASS,377e6c029807f325,377e6c029807f325,OUTCOME_AND_HASH_MATCH,+bad,660658,667162,-0.98
vulkan,vertex_buffer_allocation.disjoint_same_page,leaf,PASS,PASS,fdcd25a37910bb25,fdcd25a37910bb25,OUTCOME_AND_HASH_MATCH,+bad,39914,39195,+1.80
vulkan,vertex_buffer_allocation.ordered_same_page_overwrite,leaf,PASS,PASS,bbc8caeedc9dff25,bbc8caeedc9dff25,OUTCOME_AND_HASH_MATCH,+bad,15112,15376,-1.75
opengl,busy_pfifo.pfifo_saturation,leaf,PASS,PASS,1508607624bb8506,1508607624bb8506,OUTCOME_AND_HASH_MATCH,+bad,101165,101866,-0.69
opengl,busy_pfifo.pgraph_pattern_polling,leaf,PASS,PASS,386d0f085e98c325,386d0f085e98c325,OUTCOME_AND_HASH_MATCH,+bad,3933819,4266689,-8.46
opengl,cpu_floating_point.sse_scalar,leaf,PASS,PASS,6962077c244da325,6962077c244da325,OUTCOME_AND_HASH_MATCH,+bad,503121,506101,-0.59
opengl,cpu_floating_point.x87_scalar,leaf,PASS,PASS,6962077c244da325,6962077c244da325,OUTCOME_AND_HASH_MATCH,+bad,790477,788683,+0.23
opengl,cpu_translation_blocks.direct_loop,leaf,PASS,PASS,bd1fc9bf0c318325,bd1fc9bf0c318325,OUTCOME_AND_HASH_MATCH,+bad,10028,9915,+1.13
opengl,cpu_translation_blocks.indirect_dispatch,leaf,PASS,PASS,c0426cf669a02325,c0426cf669a02325,OUTCOME_AND_HASH_MATCH,+bad,39954,40313,-0.90
opengl,cpu_translation_blocks.indirect_dispatch_stress,leaf,PASS,PASS,fbd507cb0c622325,fbd507cb0c622325,OUTCOME_AND_HASH_MATCH,+bad,788521,790264,-0.22
opengl,fill_rate.solid,leaf,PASS,PASS,08b0f60773aac775,08b0f60773aac775,OUTCOME_AND_HASH_MATCH,+bad,1893,1533,+19.02
opengl,fill_rate.textured,leaf,PASS,PASS,99b433323df1684d,99b433323df1684d,OUTCOME_AND_HASH_MATCH,+bad,1971,2016,-2.28
opengl,game_load.long_unlocked_scene.cpu,leaf,PASS,PASS,4efd9244c4ad2325,4efd9244c4ad2325,OUTCOME_AND_HASH_MATCH,+bad,24070,24036,+0.14
opengl,game_load.long_unlocked_scene.pfifo,leaf,PASS,PASS,4efd9244c4ad2325,4efd9244c4ad2325,OUTCOME_AND_HASH_MATCH,+bad,4709,4665,+0.93
opengl,game_load.long_unlocked_scene.alpha_overdraw,leaf,PASS,PASS,4efd9244c4ad2325,4efd9244c4ad2325,OUTCOME_AND_HASH_MATCH,+bad,32035,31210,+2.58
opengl,game_load.long_unlocked_scene.streaming_surface_reuse,leaf,PASS,PASS,4efd9244c4ad2325,4efd9244c4ad2325,OUTCOME_AND_HASH_MATCH,+bad,9002,9284,-3.13
opengl,game_load.long_unlocked_scene.combined,leaf,PASS,PASS,4efd9244c4ad2325,4efd9244c4ad2325,OUTCOME_AND_HASH_MATCH,+bad,69075,68875,+0.29
opengl,game_load.long_unlocked_scene.full_system,leaf,PASS,PASS,4efd9244c4ad2325,4efd9244c4ad2325,OUTCOME_AND_HASH_MATCH,+bad,68766,68471,+0.43
opengl,game_load.long_unlocked_scene,group,PASS,PASS,4efd9244c4ad2325,4efd9244c4ad2325,OUTCOME_AND_HASH_MATCH,,,,
opengl,game_load.cross_title_hotpath.queued_vertex_cpu_writes,leaf,PASS,PASS,ea21c900993ea325,ea21c900993ea325,OUTCOME_AND_HASH_MATCH,+bad,50390,50021,+0.73
opengl,game_load.cross_title_hotpath.pgr2_small_draws,leaf,PASS,PASS,151015a16ca46325,151015a16ca46325,OUTCOME_AND_HASH_MATCH,+bad,100406,100014,+0.39
opengl,game_load.cross_title_hotpath.texture_update_reuse,leaf,PASS,PASS,44fcd2c900a5a325,44fcd2c900a5a325,OUTCOME_AND_HASH_MATCH,+bad,2741,2730,+0.40
opengl,game_load.cross_title_hotpath.surface_reuse,leaf,PASS,PASS,37f87c4938cd6325,37f87c4938cd6325,OUTCOME_AND_HASH_MATCH,+bad,6496,6733,-3.65
opengl,game_load.cross_title_hotpath.pipeline_state_churn,leaf,PASS,PASS,4f8b2eab497ca325,4f8b2eab497ca325,OUTCOME_AND_HASH_MATCH,+bad,64881,65610,-1.12
opengl,game_load.cross_title_hotpath.blend_constant_reuse,leaf,PASS,PASS,58e80f99c5a56325,58e80f99c5a56325,OUTCOME_AND_HASH_MATCH,+bad,99889,99985,-0.10
opengl,game_load.cross_title_hotpath.texture_binding_reuse,leaf,PASS,PASS,6b9bae4b9c97a325,6b9bae4b9c97a325,OUTCOME_AND_HASH_MATCH,+bad,133335,133071,+0.20
opengl,game_load.cross_title_hotpath.pgr2_lagspot_inline_elements,leaf,PASS,PASS,2b9db92162606325,2b9db92162606325,OUTCOME_AND_HASH_MATCH,+bad,84024,83791,+0.28
opengl,game_load.cross_title_hotpath.scaled_surface_pressure,leaf,PASS,PASS,32a69ec6dce52325,32a69ec6dce52325,OUTCOME_AND_HASH_MATCH,+bad,232708,232794,-0.04
opengl,game_load.cross_title_hotpath.s3tc_streaming_fenced_draws,leaf,PASS,PASS,1a65246e1a0ea325,1a65246e1a0ea325,OUTCOME_AND_HASH_MATCH,+bad,2074357,2076294,-0.09
opengl,game_load.cross_title_hotpath.gpu_wait_control,leaf,PASS,PASS,e30500792076e325,e30500792076e325,OUTCOME_AND_HASH_MATCH,+bad,2398,2118,+11.68
opengl,game_load.cross_title_hotpath,group,PASS,PASS,e30500792076e325,e30500792076e325,OUTCOME_AND_HASH_MATCH,,,,
opengl,game_load.s3tc_sync_factor.dxt1_same_address_wait,leaf,PASS,PASS,3403675459d4d3d5,3403675459d4d3d5,OUTCOME_AND_HASH_MATCH,+bad,16602,16897,-1.78
opengl,game_load.s3tc_sync_factor.dxt1_same_address_queued,leaf,PASS,PASS,466ef062703c6f0d,68160b16bbdb0425,HASH_INELIGIBLE_OUTCOME_MATCH,+bad,16501,16549,-0.29
opengl,game_load.s3tc_sync_factor.dxt1_ring_payload_generations,leaf,PASS,PASS,3403675459d4d3d5,3403675459d4d3d5,OUTCOME_AND_HASH_MATCH,+bad,16751,16448,+1.81
opengl,game_load.s3tc_sync_factor.dxt1_dirty_once_redraw,leaf,PASS,PASS,428c04bbb0a62725,428c04bbb0a62725,OUTCOME_AND_HASH_MATCH,+bad,16628,16610,+0.11
opengl,game_load.s3tc_sync_factor.rgba8_same_address_wait,leaf,PASS,PASS,3403675459d4d3d5,3403675459d4d3d5,OUTCOME_AND_HASH_MATCH,+bad,49673,49982,-0.62
opengl,game_load.s3tc_sync_factor.rgba8_same_address_queued,leaf,PASS,PASS,2a4ee85df87c028f,fdd2f7f7e0893e11,HASH_INELIGIBLE_OUTCOME_MATCH,+bad,49735,49833,-0.20
opengl,game_load.s3tc_sync_factor.rgba8_ring_payload_generations,leaf,PASS,PASS,3403675459d4d3d5,3403675459d4d3d5,OUTCOME_AND_HASH_MATCH,+bad,50097,49075,+2.04
opengl,game_load.s3tc_sync_factor.rgba8_dirty_once_redraw,leaf,PASS,PASS,428c04bbb0a62725,428c04bbb0a62725,OUTCOME_AND_HASH_MATCH,+bad,16473,16584,-0.67
opengl,game_load.s3tc_sync_factor.bc2_native_eligible,leaf,PASS,PASS,3403675459d4d3d5,3403675459d4d3d5,OUTCOME_AND_HASH_MATCH,+bad,16870,16648,+1.32
opengl,game_load.s3tc_sync_factor.bc2_bordered_fallback,leaf,PASS,PASS,3403675459d4d3d5,3403675459d4d3d5,OUTCOME_AND_HASH_MATCH,+bad,49705,49571,+0.27
opengl,game_load.s3tc_sync_factor.bc3_native_eligible,leaf,PASS,PASS,3403675459d4d3d5,3403675459d4d3d5,OUTCOME_AND_HASH_MATCH,+bad,16524,16754,-1.39
